BI0CE2,BI12E3,BI41E1,BI41E2,BI41E3,BI72E3,BI76E3,BI99E1,BI99E3,VC07E1,VC07E2,VC07E3,num_overtargets,total_traffic,cell_throughput,user_throughput,nextim_file,output_file,reward
5,2,4,8,6,5,9,7,2,8,4,6,2.0,98.44598,12.791260192494795,4.808936827995033,Nextim_224.txt,Nextim_224.txt_throughput_21-22_fer.data,0.8800098510244914
5,2,4,8,6,5,10,7,2,8,5,6,2.0,98.37111000000002,12.787781380793758,4.811883512247233,Nextim_871.txt,Nextim_871.txt_throughput_21-22_fer.data,0.8799832446520496
6,4,4,8,6,5,10,7,2,8,3,6,2.0,98.43221000000003,12.793517274964508,4.805739304155285,Nextim_922.txt,Nextim_922.txt_throughput_21-22_fer.data,0.8799628289559897
6,2,4,8,6,7,10,7,2,8,3,6,2.0,98.40989,12.765880393654534,4.832530520449788,Nextim_1268.txt,Nextim_1268.txt_throughput_21-22_fer.data,0.8799205457052162
8,3,4,8,6,5,10,7,2,8,5,6,2.0,98.36901,12.79655964179369,4.8017599903295185,Nextim_1315.txt,Nextim_1315.txt_throughput_21-22_fer.data,0.8799159816061606
6,2,4,8,6,5,8,7,2,8,3,6,2.0,98.45551,12.792116420633278,4.8053898718181784,Nextim_843.txt,Nextim_843.txt_throughput_21-22_fer.data,0.8798753146225728
8,2,4,8,6,5,10,7,2,8,4,5,2.0,98.43507,12.802545050138198,4.794258959978455,Nextim_813.txt,Nextim_813.txt_throughput_21-22_fer.data,0.8798402005058327
5,2,4,8,6,5,8,7,2,8,3,6,2.0,98.45550999999999,12.785559229452033,4.811161555481358,Nextim_1277.txt,Nextim_1277.txt_throughput_21-22_fer.data,0.8798360392466696
8,4,4,8,6,6,10,7,2,8,3,6,2.0,98.41075000000001,12.781542734650795,4.81503282440425,Nextim_895.txt,Nextim_895.txt_throughput_21-22_fer.data,0.8798287779527524
8,2,4,8,6,5,10,7,2,7,3,6,2.0,98.46831999999999,12.820473638540285,4.775804543820522,Nextim_773.txt,Nextim_773.txt_throughput_21-22_fer.data,0.8798139091180404
7,2,4,8,6,5,10,7,2,8,5,6,2.0,98.36900999999999,12.797705087171911,4.798568453501446,Nextim_469.txt,Nextim_469.txt_throughput_21-22_fer.data,0.8798136770336679
5,2,4,8,6,5,7,7,2,8,3,6,2.0,98.4625,12.780392964078622,4.815866448584801,Nextim_815.txt,Nextim_815.txt_throughput_21-22_fer.data,0.8798129706331712
8,2,4,8,4,5,10,7,2,8,3,6,2.0,98.43062000000003,12.820988569160649,4.774327029890508,Nextim_691.txt,Nextim_691.txt_throughput_21-22_fer.data,0.8797657799525579
8,2,4,8,6,5,10,7,2,8,3,4,2.0,98.43765,12.798954449793179,4.796289361810902,Nextim_794.txt,Nextim_794.txt_throughput_21-22_fer.data,0.8797621905802041
8,2,4,7,6,5,10,7,2,8,3,6,2.0,98.46724000000003,12.81810155597161,4.777034509677618,Nextim_729.txt,Nextim_729.txt_throughput_21-22_fer.data,0.8797568032824614
4,2,4,8,4,5,10,7,2,8,3,6,2.0,98.43272000000003,12.799450616712157,4.794612613783191,Nextim_1333.txt,Nextim_1333.txt_throughput_21-22_fer.data,0.8797031615247675
6,2,4,8,4,5,10,7,2,8,3,6,2.0,98.43272000000002,12.810253109689304,4.782077041391668,Nextim_1369.txt,Nextim_1369.txt_throughput_21-22_fer.data,0.8796165075540486
8,2,4,8,5,5,10,7,2,8,5,6,2.0,98.36901,12.800208620213484,4.792013636206192,Nextim_948.txt,Nextim_948.txt_throughput_21-22_fer.data,0.8796111128209838
8,2,4,8,6,5,9,7,2,8,5,6,2.0,98.38227,12.791784804730474,4.800267307264154,Nextim_884.txt,Nextim_884.txt_throughput_21-22_fer.data,0.8796026055997315
6,2,4,8,6,5,10,7,2,8,3,4,2.0,98.43975,12.78809740692328,4.8038768126620255,Nextim_898.txt,Nextim_898.txt_throughput_21-22_fer.data,0.8795987109792653
8,2,4,8,6,5,10,7,2,8,3,3,2.0,98.43765000000002,12.788416362040756,4.803234588045937,Nextim_781.txt,Nextim_781.txt_throughput_21-22_fer.data,0.8795825475043347
8,2,4,8,5,5,7,7,2,8,3,6,2.0,98.46040000000002,12.795527362176543,4.795883716206357,Nextim_844.txt,Nextim_844.txt_throughput_21-22_fer.data,0.8795705539191451
8,2,4,8,6,7,9,7,2,8,3,6,2.0,98.43676000000002,12.764844631401466,4.826157094206173,Nextim_1339.txt,Nextim_1339.txt_throughput_21-22_fer.data,0.879550086280382
8,3,4,8,6,5,10,7,2,8,3,4,2.0,98.43765,12.792187576481362,4.798608306049462,Nextim_842.txt,Nextim_842.txt_throughput_21-22_fer.data,0.8795397941265413
7,2,4,8,4,5,10,7,2,8,3,6,2.0,98.43062,12.815648266892756,4.774628539681187,Nextim_1293.txt,Nextim_1293.txt_throughput_21-22_fer.data,0.8795138403286972
7,2,4,7,6,5,10,7,2,8,3,6,2.0,98.46724000000003,12.81279457058034,4.777393794942316,Nextim_449.txt,Nextim_449.txt_throughput_21-22_fer.data,0.8795094182761329
8,6,4,8,6,5,10,7,2,8,3,6,2.0,98.41660999999999,12.751679681436782,4.838210674673409,Nextim_780.txt,Nextim_780.txt_throughput_21-22_fer.data,0.8794945178055096
5,6,4,8,6,5,10,7,2,8,3,6,2.0,98.41870999999999,12.73682486266222,4.852032408004065,Nextim_861.txt,Nextim_861.txt_throughput_21-22_fer.data,0.8794428635333142
8,2,4,8,4,6,10,7,2,8,3,6,2.0,98.41126000000003,12.797678165291906,4.791125888141703,Nextim_892.txt,Nextim_892.txt_throughput_21-22_fer.data,0.8794402026716804
6,2,4,8,6,5,10,7,2,8,3,3,2.0,98.43975000000002,12.777503716683361,4.810750873055681,Nextim_949.txt,Nextim_949.txt_throughput_21-22_fer.data,0.8794127294869521
8,2,4,8,6,7,10,7,2,8,4,6,2.0,98.40779,12.764043876229227,4.8236244164556075,Nextim_1299.txt,Nextim_1299.txt_throughput_21-22_fer.data,0.8793834146342417
8,2,4,8,6,6,7,7,2,8,3,6,2.0,98.45938000000002,12.774891209854177,4.812618061867777,Nextim_919.txt,Nextim_919.txt_throughput_21-22_fer.data,0.8793754635860977
8,2,4,8,6,5,8,7,2,8,4,6,2.0,98.45341000000002,12.790352555090326,4.79659705771189,Nextim_1319.txt,Nextim_1319.txt_throughput_21-22_fer.data,0.8793474806401109
8,2,4,8,5,5,10,7,2,7,3,6,2.0,98.46831999999999,12.817686809073518,4.769121318180911,Nextim_944.txt,Nextim_944.txt_throughput_21-22_fer.data,0.8793404063627215
8,2,4,8,6,7,10,7,2,8,3,5,2.0,98.41224000000001,12.761351278723462,4.825296370512272,Nextim_1276.txt,Nextim_1276.txt_throughput_21-22_fer.data,0.8793323824617868
8,2,4,8,3,5,10,7,2,8,3,6,2.0,98.43061999999999,12.818131910580892,4.768095002605723,Nextim_803.txt,Nextim_803.txt_throughput_21-22_fer.data,0.8793113456593308
8,2,4,8,4,5,9,7,2,8,3,6,2.0,98.44388000000001,12.809914645945614,4.775940446996671,Nextim_864.txt,Nextim_864.txt_throughput_21-22_fer.data,0.8792927546471143
4,2,4,8,3,5,10,7,2,8,3,6,2.0,98.43271999999997,12.796705596821255,4.788433076810548,Nextim_1281.txt,Nextim_1281.txt_throughput_21-22_fer.data,0.8792569336815902
8,2,4,8,6,5,10,7,2,8,6,6,2.0,98.34804000000001,12.77915190837137,4.805173285348481,Nextim_776.txt,Nextim_776.txt_throughput_21-22_fer.data,0.8792162596859926
8,2,4,4,6,5,10,7,3,8,3,6,2.0,98.26835000000003,12.784017255977151,4.7996731139315605,Nextim_1133.txt,Nextim_1133.txt_throughput_21-22_fer.data,0.8791845184954357
8,6,4,8,6,6,10,7,2,8,3,6,2.0,98.39675000000001,12.728557077466753,4.855111419086462,Nextim_834.txt,Nextim_834.txt_throughput_21-22_fer.data,0.8791834248276608
8,2,4,8,6,5,6,7,2,8,3,6,2.0,98.46179000000002,12.791267484367935,4.792005733720643,Nextim_783.txt,Nextim_783.txt_throughput_21-22_fer.data,0.879163660904429
8,2,4,8,6,5,10,7,2,8,3,2,2.0,98.43765,12.779968471408338,4.803199940005217,Nextim_800.txt,Nextim_800.txt_throughput_21-22_fer.data,0.8791584205706777
